İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
40330572,09 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2015,159.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,1100000.0
28434903,09 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB Distinctive,2011,205.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1368 cc,120 hp,Önden Çekiş,"6,4 lt",60 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,696000.0
40322103,09 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2006,162.000 km,Düz,Benzin,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,4 boyalı,,Sahibinden,İkinci El,420000.0
40285840,08 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,238.000 km,Düz,Benzin,Hatchback/5,Bordo,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,560000.0
36523850,08 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2004,270.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,"4 boyalı, 2 lokal boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,300000.0
36096394,08 Mayıs 2026,Alfa Romeo,159,1.9 JTS Distinctive,2006,262.000 km,Düz,Benzin,Sedan,Bordo,1859 cc,160 hp,Önden Çekiş,"8,7 lt",70 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,625000.0
40273010,07 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive,2008,320.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,,,"6 boyalı, 1 lokal boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,560000.0
39741574,07 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2008,228.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,"1 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,495000.0
40266952,07 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2004,302.000 km,Düz,LPG & Benzin,Hatchback/5,Bordo,1598 cc,105 hp,Önden Çekiş,"8,1 lt",60 lt,"3 değişen, 9 boyalı",,Sahibinden,İkinci El,285000.0
39890838,07 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2015,327.000 km,Düz,Dizel,Hatchback/5,Lacivert,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 8 boyalı, 1 lokal boyalı",Takasa Uygun Değil,Galeriden,İkinci El,517000.0
39890832,07 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2013,196.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"1 değişen, 1 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,819000.0
39465207,07 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2018,94.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,2 boyalı,Takasa Uygun,Galeriden,İkinci El,1158500.0
39890826,07 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2006,270.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"2 değişen, 9 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,345147.0
40232991,06 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013,273.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,12 boyalı,,Sahibinden,İkinci El,640000.0
40230922,06 Mayıs 2026,Alfa Romeo,156,2.0 TS,1999,283.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,Belirtilmemiş,,Sahibinden,İkinci El,220000.0
39890825,06 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2013,97.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,1125000.0
40234568,05 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2004,225.000 km,Düz,Benzin,Sedan,Şampanya,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,490000.0
40227763,05 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2004,315.000 km,Düz,Benzin,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Tamamı orjinal,,Sahibinden,İkinci El,400000.0
38192237,05 Mayıs 2026,Alfa Romeo,156,2.0 TS,1999,277.000 km,Düz,LPG & Benzin,Sedan,Gri,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,Belirtilmemiş,,Sahibinden,İkinci El,220000.0
39877372,05 Mayıs 2026,Alfa Romeo,MiTo,1.4 T MultiAir,2012,110.000 km,Otomatik,Benzin,Hatchback/3,Kırmızı,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,,,"2 boyalı, 1 lokal boyalı",Takasa Uygun Değil,Galeriden,İkinci El,850750.0
40222411,05 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2017,162.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1260000.0
40222402,05 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,297.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 7 boyalı",Takasa Uygun,Galeriden,İkinci El,579500.0
40222396,05 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,204.000 km,Düz,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,770000.0
40222391,05 Mayıs 2026,Alfa Romeo,MiTo,1.4 T MultiAir,2011,138.200 km,Otomatik,Benzin,Hatchback/3,Beyaz,1368 cc,135 hp,Önden Çekiş,"5,5 lt",45 lt,"1 değişen, 8 boyalı",Takasa Uygun,Galeriden,İkinci El,659900.0
40222384,05 Mayıs 2026,Alfa Romeo,MiTo,1.4 T Distinctive,2010,102.600 km,Düz,Benzin,Hatchback/3,Beyaz,1368 cc,155 hp,Önden Çekiş,"6,5 lt",45 lt,2 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,697000.0
36584052,05 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2014,150.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,10 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,850000.0
40203131,05 Mayıs 2026,Alfa Romeo,156,1.6 TS Progression,2004,367.000 km,Düz,Benzin,Sedan,Füme,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Belirtilmemiş,,Sahibinden,İkinci El,350000.0
40214553,05 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2013,254.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,1 değişen,Takasa Uygun,Sahibinden,İkinci El,1150000.0
39319591,05 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD,2020,114.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"1 değişen, 1 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1159000.0
39811558,05 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2004,315.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"1 değişen, 9 boyalı",Takasa Uygun,Galeriden,İkinci El,375000.0
36691931,05 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Sprint,2020,95.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1425000.0
40202773,04 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2006,319.500 km,Düz,LPG & Benzin,Hatchback/5,Füme,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,2 değişen,Takasa Uygun,Sahibinden,İkinci El,385000.0
40202092,04 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTDM-2 Sprint,2020,147.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,Tamamı orjinal,,Sahibinden,İkinci El,1300000.0
40198788,04 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2004,340.000 km,Düz,LPG & Benzin,Sedan,Gri (metalik),1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,"2 değişen, 11 boyalı",,Sahibinden,İkinci El,335000.0
40198532,04 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2011,246.000 km,Düz,Dizel,Hatchback/5,Gri,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 2 boyalı, 1 lokal boyalı",,Sahibinden,İkinci El,715000.0
40192053,04 Mayıs 2026,Alfa Romeo,MiTo,1.4 T Distinctive,2010,212.000 km,Düz,Benzin,Hatchback/3,Beyaz,1368 cc,155 hp,Önden Çekiş,"6,5 lt",45 lt,"3 boyalı, 2 lokal boyalı",Takasa Uygun,Sahibinden,İkinci El,630000.0
40184694,04 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2004,184.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,"1 değişen, 12 boyalı",Takasa Uygun,Sahibinden,İkinci El,525000.0
40178557,04 Mayıs 2026,Alfa Romeo,156,2.0 TS,1998,209.000 km,Düz,LPG & Benzin,Sedan,Lacivert,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,"1 değişen, 12 boyalı",,Sahibinden,İkinci El,315000.0
39784429,04 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2014,191.508 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,765000.0
39548623,04 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2014,180.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 2 boyalı, 2 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,830000.0
38048896,04 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2006,267.300 km,Düz,LPG & Benzin,Sedan,Kırmızı,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,344000.0
37665336,04 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Progression,2016,149.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,"2 boyalı, 2 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,850000.0
40185711,03 Mayıs 2026,Alfa Romeo,Giulia,2.0 T Veloce,2022,77.000 km,Otomatik,Benzin,Sedan,Siyah,1995 cc,280 hp,4WD (Sürekli),"7,7 lt",58 lt,Tamamı orjinal,,Sahibinden,İkinci El,3230000.0
40171440,03 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive,2008,260.000 km,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1910 cc,150 hp,Önden Çekiş,"7,1 lt",70 lt,"9 boyalı, 3 lokal boyalı",,Sahibinden,İkinci El,625000.0
40163484,03 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,217.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,1 lokal boyalı,,Sahibinden,İkinci El,960000.0
33081422,03 Mayıs 2026,Alfa Romeo,156,2.0 TS,1999,414.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,4 boyalı,Takasa Uygun,Sahibinden,İkinci El,200000.0
39784425,03 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive Plus,2008,248.000 km,Otomatik,Dizel,Station wagon,Siyah,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,,,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,788000.0
38048904,03 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,42.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,İkinci El,1225000.0
32972080,03 Mayıs 2026,Alfa Romeo,Giulia Quadrifoglio,2.9,2023,14.800 km,Otomatik,Benzin,Sedan,Kırmızı,2501 - 3000 cm3,501 - 525 HP,Arkadan İtiş,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,14900000.0
38386682,02 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,239.000 km,Otomatik,Benzin,Hatchback/5,Siyah,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,10 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,760000.0
36768798,02 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2004,270.000 km,Düz,LPG & Benzin,Sedan,Mavi,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,5 boyalı,,Sahibinden,İkinci El,299000.0
38371823,02 Mayıs 2026,Alfa Romeo,156,2.0 TS Executive,1999,337.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,199998.0
40123934,02 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2003,203.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,245000.0
39248929,02 Mayıs 2026,Alfa Romeo,MiTo,1.4 T Distinctive,2009,155.000 km,Düz,Benzin,Hatchback/3,Kırmızı,1368 cc,155 hp,Önden Çekiş,"6,5 lt",45 lt,"1 değişen, 7 boyalı",Takasa Uygun,Galeriden,İkinci El,575000.0
40140698,02 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,199.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 5 boyalı",Takasa Uygun,Galeriden,İkinci El,692000.0
39715651,02 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Progression Plus,2015,217.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,2 lokal boyalı,Takasa Uygun,Galeriden,İkinci El,864500.0
