İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
Kopyalandı32361978,13 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013,206.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden,İkinci El,765000.0
Kopyalandı35775636,12 Aralık 2025,Alfa Romeo,145,1.4 TS STD,1999,300.000 km,Düz,LPG & Benzin,Hatchback/3,Lacivert,1370 cc,103 hp,Önden Çekiş,"7,9 lt",51 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,180000.0
Kopyalandı35771549,12 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2018,231.000 km,Otomatik,Dizel,Hatchback/5,Füme,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,8 boyalı,Takasa Uygun,Galeriden,İkinci El,1050000.0
Kopyalandı33417884,12 Aralık 2025,Alfa Romeo,156,1.6 TS Distinctive,2005,212.000 km,Düz,Benzin,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,12 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,397500.0
Kopyalandı35739446,12 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2014,155.000 km,Otomatik,Benzin,Hatchback/5,Gri,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"1 değişen, 4 boyalı",,Sahibinden,İkinci El,910000.0
Kopyalandı35740035,12 Aralık 2025,Alfa Romeo,147,1.6 TS Progression,2005,347.000 km,Düz,LPG & Benzin,Hatchback/3,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,350000.0
Kopyalandı35750182,12 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,318.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 5 boyalı",Takasa Uygun,Galeriden,İkinci El,509000.0
Kopyalandı31516444,12 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2014,155.000 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,Tamamı orjinal,,Sahibinden,İkinci El,850000.0
Kopyalandı35689745,12 Aralık 2025,Alfa Romeo,159,1.9 JTD Distinctive,2007,256.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1910 cc,150 hp,Önden Çekiş,"7,1 lt",70 lt,"4 değişen, 6 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,649000.0
Kopyalandı35249863,12 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2016,55.000 km,Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1229750.0
Kopyalandı35249857,12 Aralık 2025,Alfa Romeo,156,1.6 TS Distinctive,2004,256.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,425000.0
Kopyalandı34059928,12 Aralık 2025,Alfa Romeo,Giulia,2.0 Competizione,2023,59.000 km,Otomatik,Benzin,Sedan,Siyah,1801 - 2000 cm3,276 - 300 HP,4WD (Sürekli),,,4 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,3185000.0
Kopyalandı34056934,12 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2015,154.500 km,Otomatik,Benzin,Hatchback/5,Gri,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,7 boyalı,Takasa Uygun,Galeriden,İkinci El,1095000.0
Kopyalandı35743368,11 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,187.000 km,Düz,Benzin,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,Tamamı boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,335000.0
Kopyalandı35719946,11 Aralık 2025,Alfa Romeo,Giulia,2.0 T Veloce,2020,11.000 km,Otomatik,Benzin,Sedan,Füme,1995 cc,280 hp,4WD (Sürekli),"7,7 lt",58 lt,"3 değişen, 2 boyalı",Takasa Uygun,Galeriden,İkinci El,2575000.0
Kopyalandı35715435,11 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,197.913 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,7 boyalı,Takasa Uygun,Galeriden,İkinci El,785000.0
Kopyalandı29449627,11 Aralık 2025,Alfa Romeo,145,1.4,1998,298.000 km,Düz,Benzin,Hatchback/3,Yeşil (metalik),1351 cc,90 hp,Önden Çekiş,,51 lt,Belirtilmemiş,,Sahibinden,İkinci El,210000.0
Kopyalandı35689762,11 Aralık 2025,Alfa Romeo,GT,2.0 JTS Distinctive Selespeed,2006,182.000 km,Otomatik,Benzin,Coupe,Kırmızı,1970 cc,165 hp,Önden Çekiş,"8,7 lt",63 lt,Tamamı boyalı,Takasa Uygun Değil,Galeriden,İkinci El,450000.0
Kopyalandı34584714,11 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,376.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,245000.0
Kopyalandı35374452,10 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB Progression Plus,2012,200.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1368 cc,120 hp,Önden Çekiş,"6,4 lt",60 lt,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,İkinci El,619000.0
Kopyalandı35123697,10 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,178.000 km,Otomatik,Benzin,Hatchback/5,Gri,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"3 değişen, 6 boyalı",Takasa Uygun,Galeriden,İkinci El,778000.0
Kopyalandı35692515,10 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB Progression Plus,2011,130.000 km,Düz,Benzin,Hatchback/5,Beyaz,1368 cc,120 hp,Önden Çekiş,"6,4 lt",60 lt,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,İkinci El,779000.0
Kopyalandı35692506,10 Aralık 2025,Alfa Romeo,156,1.6 TS,1998,170.000 km,Düz,LPG & Benzin,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,270000.0
Kopyalandı35692500,10 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2005,290.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,315000.0
Kopyalandı35692476,10 Aralık 2025,Alfa Romeo,156,1.6 TS Distinctive,2006,338.000 km,Düz,LPG & Benzin,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,"1 değişen, 12 boyalı",Takasa Uygun,Galeriden,İkinci El,389000.0
Kopyalandı32745889,10 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Progression,2017,171.217 km,Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,7 boyalı,Takasa Uygun,Galeriden,İkinci El,950000.0
Kopyalandı35681510,10 Aralık 2025,Alfa Romeo,166,2.0 TS Distinctive,2005,159.000 km,Düz,Benzin,Sedan,Gri,1970 cc,150 hp,Önden Çekiş,"9,7 lt",69 lt,2 boyalı,,Sahibinden,İkinci El,489000.0
Kopyalandı35675098,10 Aralık 2025,Alfa Romeo,MiTo,1.3 JTD City,2013,97.000 km,Düz,Dizel,Hatchback/3,Beyaz,1248 cc,95 hp,Önden Çekiş,"4,3 lt",45 lt,2 boyalı,Takasa Uygun,Sahibinden,İkinci El,695000.0
Kopyalandı32803059,09 Aralık 2025,Alfa Romeo,147,1.6 TS Progression,2004,283.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"8,1 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,223500.0
Kopyalandı35639748,09 Aralık 2025,Alfa Romeo,156,1.6 TS,2001,365.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Tamamı boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,220000.0
Kopyalandı34793682,09 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2005,188.700 km,Düz,Benzin,Hatchback/5,Füme,,,,,,Belirtilmemiş,,Sahibinden,İkinci El,385000.0
Kopyalandı35123757,09 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2011,191.500 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,4 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,655000.0
Kopyalandı35123736,09 Aralık 2025,Alfa Romeo,156,1.9 JTD Impression,2004,355.000 km,Düz,Dizel,Sedan,Kırmızı,1801 - 2000 cm3,76 - 100 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,510000.0
Kopyalandı35123723,09 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Progression,2018,99.500 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Yetkili Bayiden,İkinci El,1130000.0
Kopyalandı35522196,08 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,201.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,2 boyalı,Takasa Uygun,Sahibinden,İkinci El,369000.0
Kopyalandı35614734,08 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,154.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,899750.0
Kopyalandı35614727,08 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,250.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,11 boyalı,Takasa Uygun,Galeriden,İkinci El,245000.0
Kopyalandı35648316,08 Aralık 2025,Alfa Romeo,GTV,2.0 TS,2002,102.500 km,Düz,Benzin,Coupe,Mavi,1801 - 2000 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı boyalı,Takasa Uygun Değil,Galeriden,İkinci El,1395000.0
Kopyalandı34353098,08 Aralık 2025,Alfa Romeo,156,1.6 TS Distinctive,2006,195.000 km,Düz,Benzin,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,590000.0
Kopyalandı35593912,07 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,260.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,"2 değişen, 10 boyalı",Takasa Uygun,Sahibinden,İkinci El,375000.0
Kopyalandı35589309,07 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Progression Plus,2012,254.850 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,499000.0
Kopyalandı35590708,07 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,307.841 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,325000.0
Kopyalandı35585958,07 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Sprint,2020,72.100 km,Otomatik,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1270000.0
Kopyalandı35579727,07 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,330.000 km,Düz,Benzin,Hatchback/3,Mavi,1598 cc,105 hp,Önden Çekiş,"8,1 lt",60 lt,1 boyalı,Takasa Uygun,Sahibinden,İkinci El,230000.0
Kopyalandı34465862,07 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,218.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,İkinci El,775000.0
Kopyalandı33081422,06 Aralık 2025,Alfa Romeo,156,2.0 TS,1999,410.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,4 boyalı,Takasa Uygun,Sahibinden,İkinci El,250000.0
Kopyalandı35555285,06 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2006,270.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"2 değişen, 8 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,347147.0
Kopyalandı35555282,06 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2008,232.000 km,Düz,Benzin,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"4 değişen, 8 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,380000.0
Kopyalandı35555281,06 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,189.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"3 değişen, 5 boyalı",Takasa Uygun,Galeriden,İkinci El,645000.0
Kopyalandı35540681,06 Aralık 2025,Alfa Romeo,147,1.6 TS Progression,2004,228.000 km,Düz,Benzin,Hatchback/5,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,8 boyalı,,Sahibinden,İkinci El,400000.0
Kopyalandı35123709,06 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013,195.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,İkinci El,775000.0
Kopyalandı35123701,06 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,236.000 km,Otomatik,Benzin,Hatchback/5,Siyah,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,9 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,749000.0
Kopyalandı34401427,06 Aralık 2025,Alfa Romeo,159,1.9 JTD Distinctive Plus,2011,135.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1910 cc,150 hp,Önden Çekiş,"7,1 lt",70 lt,1 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,1195000.0
Kopyalandı35541535,05 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,312.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,350000.0
Kopyalandı35523135,05 Aralık 2025,Alfa Romeo,147,1.6 TS Black Line,2009,147.000 km,Düz,Benzin,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,12 boyalı,Takasa Uygun,Galeriden,İkinci El,489000.0
Kopyalandı35523132,05 Aralık 2025,Alfa Romeo,Giulia,2.0 Competizione,2023,25.000 km,Otomatik,Benzin,Sedan,Siyah,1801 - 2000 cm3,276 - 300 HP,4WD (Sürekli),,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,İkinci El,3625000.0
Kopyalandı35447133,05 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,307.899 km,Düz,Benzin,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,Tamamı boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,450000.0
Kopyalandı35459479,05 Aralık 2025,Alfa Romeo,147,1.6 TS Progression,2004,218.000 km,Düz,Benzin,Hatchback/5,Siyah,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,"1 değişen, 5 boyalı",,Sahibinden,İkinci El,399000.0
Kopyalandı35555286,05 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013,89.000 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,İkinci El,830000.0
Kopyalandı33797156,05 Aralık 2025,Alfa Romeo,156,1.6 TS,1999,345.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,9 boyalı,Takasa Uygun,Galeriden,İkinci El,315000.0
Kopyalandı32799331,05 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,179.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 6 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,615000.0
Kopyalandı29888546,05 Aralık 2025,Alfa Romeo,Giulietta,1.75 TBi Quadrifoglio Verde,2013,180.000 km,Düz,Benzin,Hatchback/5,Beyaz,1742 cc,235 hp,Önden Çekiş,"7,6 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,İkinci El,1295000.0
Kopyalandı34911987,04 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Progression Plus,2015,245.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,715000.0
Kopyalandı34911958,04 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013,189.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,İkinci El,745000.0
Kopyalandı35434874,04 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2004,298.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,295000.0
Kopyalandı26747774,04 Aralık 2025,Alfa Romeo,159,1.9 JTD Distinctive,2008,313.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1910 cc,150 hp,Önden Çekiş,"7,1 lt",70 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,615000.0
Kopyalandı35431092,04 Aralık 2025,Alfa Romeo,156,1.6 TS Distinctive,2006,232.000 km,Düz,LPG & Benzin,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,430000.0
Kopyalandı33213544,04 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2011,257.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 5 boyalı",,Sahibinden,İkinci El,529500.0
